Gene	Model	Statistic
ENSG00000131845.15	LM	0.114951245590721
ENSG00000148834.13	LM	0.114931759540316
ENSG00000163939.19	LM	0.11490732373864
ENSG00000011405.14	LM	0.114824065851602
ENSG00000140043.12	LM	0.114778755204926
ENSG00000134899.24	LM	0.114755877552068
ENSG00000153443.13	LM	0.114726074224685
ENSG00000183684.8	LM	0.114676652625067
ENSG00000115289.14	LM	0.114675325604154
ENSG00000224975.1	LM	0.114650518716215
ENSG00000144426.19	LM	0.114637879964962
ENSG00000117713.21	LM	0.114518140430756
ENSG00000116138.13	LM	0.114398973303024
ENSG00000104980.8	LM	0.11437791414115
ENSG00000244119.2	LM	0.114358754344223
ENSG00000100154.15	LM	0.114226917671792
ENSG00000224578.5	LM	0.114157964354048
ENSG00000234338.1	LM	0.113972099096338
ENSG00000099995.19	LM	0.113854251340544
ENSG00000109452.13	LM	0.113817456940492
ENSG00000165724.6	LM	0.113803270965263
ENSG00000163322.14	LM	0.113785176547728
ENSG00000146410.12	LM	0.113773845270621
ENSG00000143543.15	LM	0.113771527438489
ENSG00000108106.14	LM	0.113751262713867
ENSG00000132432.14	LM	0.11371252518278
ENSG00000175573.7	LM	0.113653418988503
ENSG00000229419.1	LM	0.113628773204993
ENSG00000168275.16	LM	0.113619907318598
ENSG00000159140.23	LM	0.113590125159979
ENSG00000204406.14	LM	0.113569326712135
ENSG00000128272.18	LM	0.113483490187711
ENSG00000272078.1	LM	0.113469588717664
ENSG00000111727.12	LM	0.113417055455045
ENSG00000138380.18	LM	0.113396833650651
ENSG00000106635.8	LM	0.113378011053036
ENSG00000165916.9	LM	0.113374783804791
ENSG00000105173.14	LM	0.113361083390735
ENSG00000130311.11	LM	0.113353224035551
ENSG00000090520.12	LM	0.113327041230981
ENSG00000174177.13	LM	0.1133261566376
ENSG00000171988.20	LM	0.113282499555968
ENSG00000072364.13	LM	0.113244646188836
ENSG00000233967.7	LM	0.113209307969136
ENSG00000165494.12	LM	0.113194484602125
ENSG00000106028.11	LM	0.113185090584411
ENSG00000204220.12	LM	0.113139557795983
ENSG00000112667.13	LM	0.113138211234892
ENSG00000130520.11	LM	0.113137384537241
ENSG00000116691.11	LM	0.113117536398673
ENSG00000147123.12	LM	0.113098071274913
ENSG00000218175.2	LM	0.113076576758717
ENSG00000189144.15	LM	0.11304560048245
ENSG00000136908.18	LM	0.112993779943155
ENSG00000066084.13	LM	0.112992758820259
ENSG00000243431.1	LM	0.112954822499992
ENSG00000269949.1	LM	0.112946045332209
ENSG00000120071.15	LM	0.112925222625017
ENSG00000008324.12	LM	0.112881959326996
ENSG00000168061.17	LM	0.112865948082042
ENSG00000168393.13	LM	0.112862878838706
ENSG00000166783.22	LM	0.112859978421869
ENSG00000164032.12	LM	0.112828946374644
ENSG00000092148.14	LM	0.112701465770035
ENSG00000148291.10	LM	0.11261445047934
ENSG00000237004.4	LM	0.112611354611745
ENSG00000177853.15	LM	0.112587729308312
ENSG00000104133.16	LM	0.11254542145836
ENSG00000139218.18	LM	0.112538501226687
ENSG00000151422.14	LM	0.112538414480058
ENSG00000279278.1	LM	0.112534736538776
ENSG00000142065.14	LM	0.112463671240365
ENSG00000173681.17	LM	0.112410235430664
ENSG00000138385.16	LM	0.112401412272046
ENSG00000119139.21	LM	0.112366251768675
ENSG00000179085.8	LM	0.112335755740823
ENSG00000230565.1	LM	0.112300609384569
ENSG00000159459.12	LM	0.112259711360732
ENSG00000076108.12	LM	0.112251029259121
ENSG00000104825.17	LM	0.112248342657998
ENSG00000070614.15	LM	0.112191651165972
ENSG00000115541.11	LM	0.112134683278796
ENSG00000127603.32	LM	0.112099219866113
ENSG00000107864.15	LM	0.112089360331607
ENSG00000145050.19	LM	0.112078301681267
ENSG00000234459.1	LM	0.112070273759962
ENSG00000163170.12	LM	0.111971076059599
ENSG00000135392.19	LM	0.111967734443832
ENSG00000134697.13	LM	0.111886832477666
ENSG00000198055.11	LM	0.111867608407291
ENSG00000139343.11	LM	0.111801464527083
ENSG00000105393.16	LM	0.111801141277273
ENSG00000019995.6	LM	0.111782422453974
ENSG00000179941.9	LM	0.111770645535041
