"Target","Evidence"
"C12orf49","predicted (union)"
"C12orf50","predicted (union)"
"C12orf60","predicted (union)"
"C12orf65","predicted (union)"
"C12orf66","predicted (union)"
"C12orf73","predicted (union)"
"C12orf75","predicted (union)"
"C14orf119","predicted (union)"
"C14orf180","predicted (union)"
"C14orf28","predicted (union)"
"C14orf39","predicted (union)"
"C15orf40","predicted (intersection) + predicted (union)"
"C15orf41","predicted (intersection) + predicted (union)"
"C15orf61","predicted (union)"
"C16orf87","predicted (intersection) + predicted (union)"
"C16orf92","predicted (union)"
"C17orf107","predicted (intersection) + predicted (union)"
"C17orf58","predicted (intersection) + predicted (union)"
"C17orf75","predicted (union)"
"C18orf21","predicted (union)"
"C18orf54","predicted (intersection) + predicted (union)"
"C18orf63","predicted (union)"
"C1D","predicted (union)"
"C1GALT1","predicted (union)"
"C1GALT1C1","predicted (union)"
"C1orf105","predicted (union)"
"C1orf112","predicted (union)"
"C1orf143","predicted (union)"
"C1orf21","predicted (union)"
"C1orf210","predicted (union)"
"C1orf50","predicted (intersection) + predicted (union)"
"C1orf52","predicted (union)"
"C1QL3","predicted (intersection) + predicted (union)"
"C1QTNF7","predicted (union)"
"C1QTNF8","predicted (union)"
"C1RL","predicted (union)"
"C20orf144","predicted (intersection) + predicted (union)"
"C20orf194","predicted (union)"
"C21orf91","predicted (intersection) + predicted (union)"
"C2CD2","predicted (union)"
"C2CD5","predicted (union)"
"C2orf16","predicted (union)"
"C2orf42","predicted (union)"
"C2orf49","predicted (union)"
"C2orf50","predicted (intersection) + predicted (union)"
"C2orf72","predicted (union)"
"C2orf73","predicted (intersection) + predicted (union)"
"C2orf76","predicted (union)"
"C2orf88","predicted (union)"
"C3orf62","predicted (intersection) + predicted (union)"
"C3orf67","predicted (union)"
"C3orf70","predicted (union)"
"C4orf19","predicted (union)"
"C4orf3","predicted (union)"
"C4orf33","predicted (intersection) + predicted (union)"
"C4orf45","predicted (union)"
"C4orf47","predicted (union)"
"C4orf54","predicted (union)"
"C5orf15","predicted (union)"
"C5orf24","predicted (union)"
"C5orf30","predicted (union)"
"C5orf51","predicted (union)"
"C5orf63","predicted (union)"
"C5orf64","predicted (union)"
"C6","predicted (union)"
"C6orf120","predicted (intersection) + predicted (union)"
"C6orf132","predicted (intersection) + predicted (union)"
"C6orf141","predicted (union)"
"C6orf201","predicted (union)"
"C6orf222","predicted (union)"
"C6orf47","predicted (union)"
"C6orf58","predicted (union)"
"C7","predicted (union)"
"C7orf25","predicted (union)"
"C8orf37","predicted (union)"
"C8orf86","predicted (union)"
"C8orf88","predicted (union)"
"C9orf40","predicted (union)"
"C9orf47","predicted (union)"
"C9orf72","predicted (intersection) + predicted (union)"
"CA12","predicted (union)"
"CA13","predicted (union)"
"CA3","predicted (union)"
"CA5B","predicted (union)"
"CA8","predicted (intersection) + predicted (union)"
